dag_id,task_id,state,duration,try_number,day_of_week
dynamic_task_mapping_1,download_file,success,0.713048,1,3
dynamic_task_mapping_1,download_file,success,0.851257,1,3
dynamic_task_mapping_1,download_file,success,1.648944,1,3
my_decorated_dag,extract_data,success,0.197321,1,6
dynamic_task_mapping_1,download_file,success,2.280802,1,3
my_decorated_dag,extract_data,success,0.174281,1,3
my_decorated_dag,transform_data,success,0.936215,1,3
dynamic_task_mapping_2,download_file,success,3.336661,1,3
my_decorated_dag,load_data,success,0.170112,1,3
dynamic_task_mapping_2,download_file,success,3.308408,1,3
dynamic_task_mapping_2,download_file,success,3.016888,1,3
my_decorated_dag,extract_data,success,0.191501,1,3
my_decorated_dag,transform_data,success,0.476886,1,3
my_decorated_dag,load_data,success,0.21336,1,3
my_decorated_dag,extract_data,success,0.361584,1,3
my_decorated_dag,transform_data,success,0.643082,1,3
my_decorated_dag,transform_data,success,0.769233,1,3
my_decorated_dag,load_data,success,0.171735,1,3
my_decorated_dag,load_data,success,0.189748,1,3
my_decorated_dag,extract_data,success,0.330832,1,3
my_decorated_dag,transform_data,success,0.258646,1,3
my_decorated_dag,load_data,success,0.657489,1,3
my_decorated_dag,extract_data,success,0.174471,1,3
my_decorated_dag,transform_data,success,0.867155,1,3
my_decorated_dag,load_data,success,0.201182,1,3
my_decorated_dag,extract_data,success,0.474924,1,3
my_decorated_dag,transform_data,success,0.185967,1,3
my_decorated_dag,extract_data,success,0.235092,1,6
dynamic_task_mapping_2,download_file,success,0.327183,1,3
my_decorated_dag,load_data,success,0.426041,1,3
dynamic_task_mapping_2,get_files,success,0.433021,1,3
my_decorated_dag,transform_data,success,0.179046,1,3
dynamic_task_mapping_2,download_file,success,0.441134,1,3
dynamic_task_mapping_2,download_file,success,0.687894,1,3
dynamic_task_mapping_2,download_file,success,0.48223,1,3
dynamic_task_mapping_2,download_file,success,0.538623,1,3
dynamic_task_mapping_2,download_file,success,0.578941,1,3
dynamic_task_mapping_3,download_file,success,0.617632,1,3
dynamic_task_mapping_3,download_file,success,0.684391,1,3
dynamic_task_mapping_2,download_file,success,0.519346,1,3
dynamic_task_mapping_2,download_file,success,0.633398,1,3
dynamic_task_mapping_3,get_files,success,0.918485,1,3
dynamic_task_mapping_3,download_file,success,2.77905,1,3
dynamic_task_mapping_3,download_file,success,4.038173,1,3
dynamic_task_mapping_3,download_file,success,3.482652,1,3
dynamic_task_mapping_3,ls_file,success,1.586039,1,3
my_decorated_dag,transform_data,success,0.232247,1,3
my_decorated_dag,extract_data,success,0.155401,1,6
dynamic_task_mapping_2,get_files,success,0.210219,1,3
dynamic_task_mapping_3,get_files,success,0.416587,1,3
dynamic_task_mapping_2,download_file,success,0.351267,1,3
dynamic_task_mapping_2,download_file,success,0.336565,1,3
dynamic_task_mapping_3,download_file,success,0.624893,1,3
dynamic_task_mapping_2,ls_file,success,0.549902,1,3
my_decorated_dag,extract_data,success,0.185786,1,3
dynamic_task_mapping_2,ls_file,success,0.583217,1,3
my_decorated_dag,transform_data,success,0.361801,1,3
dynamic_task_mapping_2,download_file,success,0.509739,1,3
dynamic_task_mapping_2,get_files,success,0.528746,1,3
my_decorated_dag,load_data,success,0.160842,1,3
dynamic_task_mapping_3,ls_file,success,1.534737,1,3
my_decorated_dag,extract_data,success,0.189408,1,3
my_decorated_dag,transform_data,success,0.234166,1,3
